oewn_id	dulplus_class	source	framester_id	pos	ili	primary_lemma	definition
oewn-00001740-n	dul:PhysicalObject	topmapping	synset-entity-noun-1	n	i35545	entity	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
oewn-00001930-n	dul:PhysicalObject	topmapping	synset-physical_entity-noun-1	n	i35546	physical entity	an entity that has physical existence
oewn-00002137-n	dul:Description	topmapping	synset-abstraction-noun-6	n	i35547	abstraction	a general concept formed by extracting common features from specific examples
oewn-00002452-n	owl:Thing	topmapping	synset-thing-noun-12	n	i35548	thing	a separate and self-contained entity
oewn-00002684-n	dul:PhysicalObject	topmapping	synset-object-noun-1	n	i35549	object	a tangible and visible entity; an entity that can cast a shadow
oewn-00003553-n	dul:System	topmapping	synset-whole-noun-2	n	i35550	whole	an assemblage of parts that is regarded as a single entity
oewn-00003993-n	dul:System	propagated	synset-congener-noun-3	n	i35551	congener	a whole (a thing or person) of the same kind or category as another
oewn-00004258-n	dul:PhysicalAgent	topmapping	synset-living_thing-noun-1	n	i35552	living thing	a living (or once living) entity
oewn-00004475-n	dul:Organism	topmapping	synset-organism-noun-1	n	i35553	organism	a living thing that has (or can develop) the ability to act or function independently
oewn-00005787-n	dul:Organism	propagated	synset-benthos-noun-2	n	i35554	benthos	organisms (plants and animals) that live at or near the bottom of a sea, lake, river or stream
oewn-00005930-n	dul:Organism	propagated	synset-dwarf-noun-3	n	i35555	dwarf	a plant or animal that is atypically small
oewn-00006024-n	dul:Organism	propagated	synset-heterotroph-noun-1	n	i35556	heterotroph	an organism that depends on complex organic substances for nutrition
oewn-00006150-n	dul:Organism	propagated	synset-parent-noun-2	n	i35557	parent	an organism (plant or animal) from which younger ones are obtained
oewn-00006269-n	dul:PhysicalAgent	propagated	synset-life-noun-10	n	i35558	life	living things collectively
oewn-00006400-n	dul:PhysicalAgent	propagated	synset-biont-noun-1	n	i35559	biont	a discrete unit of living matter
oewn-00006484-n	dul:BiologicalObject	topmapping	synset-cell-noun-2	n	i35560	cell	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals
oewn-00007347-n	owl:Thing	topmapping	synset-causal_agent-noun-1	n	i35561	causal agent	any entity that produces an effect or is responsible for events or results
oewn-00007846-n	dul:Person	topmapping	synset-person-noun-1	n	i35562	person	a human being; person, singular, assertive existential pronoun; pronoun, person, singular; quantifier: assertive existential
oewn-00015568-n	dul:Organism	propagated	synset-animal-noun-1	n	i35563	animal	a living organism characterized by voluntary movement
oewn-00017402-n	dul:Organism	propagated	synset-plant-noun-2	n	i35564	plant	(botany) a living organism lacking the power of locomotion
oewn-00019226-n	dul:Organism	propagated	synset-native-noun-3	n	i35565	native	indigenous plants and animals
oewn-00019308-n	dul:PhysicalObject	topmapping	synset-natural_object-noun-1	n	i35566	natural object	an object occurring naturally; not made by man
oewn-00019793-n	dul:Substance	topmapping	synset-substance-noun-1	n	i35567	substance	the real physical matter of which a person or thing consists
oewn-00021007-n	dul:Substance	topmapping	synset-matter-noun-3	n	i35569	matter	that which has mass and occupies space
oewn-00021445-n	dul:FunctionalSubstance	topmapping	synset-food-noun-1	n	i35570	food	any substance that can be metabolized by an animal to give energy and build tissue
oewn-00021914-n	dul:Substance	propagated	synset-nutrient-noun-2	n	i35571	nutrient	any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
oewn-00022119-n	dul:PhysicalObject	topmapping	synset-artifact-noun-1	n	i35572	artifact	a man-made object taken as a whole
oewn-00023083-n	dul:PhysicalObject	propagated	synset-article-noun-2	n	i35573	article	one of a class of artifacts
oewn-00023280-n	dul:Description	propagated	synset-psychological_feature-noun-1	n	i35574	psychological feature	a feature of the mental life of a living organism
oewn-00023451-n	conc:InternalRepresentation	topmapping	synset-cognition-noun-1	n	i35575	cognition	the psychological result of perception and learning and reasoning
oewn-00023953-n	dul:Event	topmapping	synset-motivation-noun-1	n	i35576	motivation	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
oewn-00024444-n	dul:Region	topmapping	synset-attribute-noun-2	n	i35577	attribute	an abstraction belonging to or characteristic of an entity
oewn-00024900-n	dul:Situation	topmapping	synset-state-noun-2	n	i35578	state	the way something is with respect to its main attributes
oewn-00026390-n	conc:InternalRepresentation	topmapping	synset-feeling-noun-1	n	i35579	feeling	the experiencing of affective and emotional states
oewn-00027365-n	dul:SpaceRegion	topmapping	synset-location-noun-1	n	i35580	location	a point or extent in space; a point or extent in space
oewn-00028005-n	dul:Region	propagated	synset-shape-noun-2	n	i35581	shape	the spatial arrangement of something as distinct from its substance
oewn-00028468-n	dul:TimeInterval	topmapping	synset-time-noun-5	n	i35582	time	the continuum of experience in which events pass from the future through the present to the past
oewn-00028950-n	dul:SpaceRegion	topmapping	synset-space-noun-1	n	i35583	space	the unlimited expanse in which everything is located
oewn-00029306-n	dul:SpaceRegion	propagated	synset-absolute_space-noun-1	n	i35584	absolute space	physical space independent of what occupies it
oewn-00029413-n	dul:SpaceRegion	propagated	synset-phase_space-noun-1	n	i35585	phase space	(physics) an ideal space in which the coordinate dimensions represent the variables that are required to describe a system or substance
oewn-00029677-n	dul:Event	topmapping	synset-event-noun-1	n	i35586	event	something that happens at a given place and time
oewn-00029976-n	dul:Process	topmapping	synset-process-noun-6	n	i35587	process	a sustained phenomenon or one marked by gradual changes through a series of states
oewn-00030657-n	dul:Action	topmapping	synset-act-noun-2	n	i35588	act	something that people do or cause to happen
oewn-00031563-n	dul:Collection	topmapping	synset-group-noun-1	n	i35589	group	any number of entities (members) considered as a unit
oewn-00032220-n	dul:Relation	topmapping	synset-relation-noun-1	n	i35590	relation	an abstraction belonging to or characteristic of two entities or parts together
oewn-00032912-n	dul:Right	topmapping	synset-possession-noun-2	n	i35591	possession	anything owned or possessed
oewn-00033122-n	dul:SocialRelation	topmapping	synset-social_relation-noun-1	n	i35592	social relation	a relation between living organisms (especially between people)
oewn-00033319-n	dul:InformationObject	topmapping	synset-communication-noun-2	n	i35593	communication	something that is communicated by or to or between people or groups
oewn-00033914-n	dul:Amount	topmapping	synset-measure-noun-2	n	i35594	measure	how much there is or how many there are of something that you can quantify
oewn-00034512-n	dul:Event	topmapping	synset-phenomenon-noun-1	n	i35595	phenomenon	any state or process known through the senses rather than by intuition or reasoning
oewn-00034778-n	dul:Action	propagated	synset-thing-noun-2	n	i35596	thing	an action
oewn-00035041-n	dul:Action	propagated	synset-kindness-noun-3	n	i35597	kindness	a kind act
oewn-00035498-n	dul:Action	propagated	synset-abdominoplasty-noun-1	n	i35598	abdominoplasty	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
oewn-00035660-n	dul:Situation	propagated	synset-abort-noun-1	n	i35599	abort	the act of terminating a project or procedure before it is completed
oewn-00035910-n	dul:Action	propagated	synset-accomplishment-noun-1	n	i35600	accomplishment	the action of accomplishing something
oewn-00036418-n	dul:Action	propagated	synset-agon-noun-1	n	i35601	agon	a festivity in ancient Greece at which competitors contended for prizes
oewn-00036612-n	dul:Action	propagated	synset-alienation-noun-4	n	i35602	alienation	the action of alienating; the action of causing to become unfriendly
oewn-00036782-n	dul:Action	propagated	synset-application-noun-7	n	i35603	application	the action of putting something into operation
oewn-00037020-n	dul:Action	propagated	synset-beachhead-noun-2	n	i35604	beachhead	an initial accomplishment that opens the way for further developments
oewn-00037301-n	dul:Action	propagated	synset-cakewalk-noun-2	n	i35605	cakewalk	an easy accomplishment
oewn-00037483-n	dul:Action	propagated	synset-feat-noun-1	n	i35606	feat	a notable achievement
oewn-00037727-n	dul:Action	propagated	synset-masterpiece-noun-2	n	i35607	masterpiece	an outstanding achievement
oewn-00037811-n	dul:Action	propagated	synset-masterstroke-noun-1	n	i35608	masterstroke	an achievement demonstrating great skill or mastery
oewn-00037921-n	dul:Action	propagated	synset-credit-noun-4	n	i35609	credit	used in the phrase ‘to your credit’ in order to indicate an achievement deserving praise
oewn-00038116-n	dul:Action	propagated	synset-action-noun-1	n	i35610	action	something done (usually as opposed to something said)
oewn-00038913-n	dul:Action	propagated	synset-res_gestae-noun-2	n	i35611	res gestae	things done
oewn-00039000-n	dul:EventType	topmapping	synset-course-noun-4	n	i35612	course	a mode of action
oewn-00039311-n	dul:EventType	propagated	synset-blind_alley-noun-2	n	i35613	blind alley	(figurative) a course of action that is unproductive and offers no hope of improvement
oewn-00039601-n	dul:EventType	propagated	synset-collision_course-noun-2	n	i35614	collision course	a course of action (following a given idea) that will lead to conflict if it continues unabated
oewn-00039759-n	dul:Action	propagated	synset-interaction-noun-1	n	i35615	interaction	a mutual or reciprocal action; interacting
oewn-00039949-n	dul:Action	propagated	synset-interplay-noun-1	n	i35616	interplay	reciprocal action and reaction
oewn-00040035-n	dul:Action	propagated	synset-contact-noun-1	n	i35617	contact	close interaction
oewn-00040283-n	dul:Action	propagated	synset-brush-noun-9	n	i35618	brush	contact with something dangerous or undesirable
oewn-00040478-n	dul:Action	propagated	synset-eye_contact-noun-2	n	i35619	eye contact	contact that occurs when two people look directly at each other
oewn-00040654-n	dul:Action	propagated	synset-fetch-noun-1	n	i35620	fetch	the action of fetching
oewn-00040728-n	dul:Action	propagated	synset-placement-noun-2	n	i35621	placement	contact established between applicants and prospective employees
oewn-00040890-n	dul:Action	propagated	synset-interchange-noun-2	n	i35622	interchange	mutual interaction; the activity of reciprocating or exchanging (especially information)
oewn-00041158-n	dul:Action	propagated	synset-reciprocity-noun-2	n	i35623	reciprocity	mutual exchange of commercial or other privileges
oewn-00041283-n	dul:Action	propagated	synset-cross-fertilization-noun-2	n	i35624	cross-fertilization	interchange between different cultures or different ways of thinking that is mutually productive and beneficial
oewn-00041542-n	dul:Action	propagated	synset-dealings-noun-1	n	i35625	dealings	social or verbal interchange (usually followed by ‘with’)
oewn-00041700-n	dul:Action	propagated	synset-relation-noun-6	n	i35626	relation	(usually plural) mutual dealings or connections among persons or groups
oewn-00041926-n	dul:Action	propagated	synset-playing-noun-2	n	i35627	playing	the action of taking part in a game or sport or other recreation
oewn-00042206-n	dul:Action	propagated	synset-play-noun-17	n	i35628	play	the act using a sword (or other weapon) vigorously and skillfully
oewn-00042352-n	dul:Action	propagated	synset-boondoggle-noun-1	n	i35629	boondoggle	work of little or no value done merely to look busy
oewn-00042478-n	dul:Action	propagated	synset-bowling-noun-3	n	i35630	bowling	the playing of a game of tenpins or duckpins etc
oewn-00042637-n	dul:Action	propagated	synset-acquiring-noun-1	n	i35631	acquiring	the act of acquiring something
