oewn_id	pos	dulplus_class	method	primary_lemma	provenance	gloss
oewn-00001740-n	n	dul:PhysicalObject	phase1_topmapping	entity	synset-entity-noun-1	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
oewn-00001930-n	n	dul:PhysicalObject	phase1_topmapping	physical entity	synset-physical_entity-noun-1	an entity that has physical existence
oewn-00002137-n	n	dul:Description	phase1_topmapping	abstraction	synset-abstraction-noun-6	a general concept formed by extracting common features from specific examples
oewn-00002452-n	n	owl:Thing	phase1_topmapping	thing	synset-thing-noun-12	a separate and self-contained entity
oewn-00002684-n	n	dul:PhysicalObject	phase1_topmapping	object	synset-object-noun-1	a tangible and visible entity; an entity that can cast a shadow
oewn-00003553-n	n	dul:System	phase1_topmapping	whole	synset-whole-noun-2	an assemblage of parts that is regarded as a single entity
oewn-00003993-n	n	dul:System	phase1_propagated	congener	synset-congener-noun-3	a whole (a thing or person) of the same kind or category as another
oewn-00004258-n	n	dul:PhysicalAgent	phase1_topmapping	living thing	synset-living_thing-noun-1	a living (or once living) entity
oewn-00004475-n	n	dul:Organism	phase1_topmapping	organism	synset-organism-noun-1	a living thing that has (or can develop) the ability to act or function independently
oewn-00005787-n	n	dul:Organism	phase1_propagated	benthos	synset-benthos-noun-2	organisms (plants and animals) that live at or near the bottom of a sea, lake, river or stream
oewn-00005930-n	n	dul:Organism	phase1_propagated	dwarf	synset-dwarf-noun-3	a plant or animal that is atypically small
oewn-00006024-n	n	dul:Organism	phase1_propagated	heterotroph	synset-heterotroph-noun-1	an organism that depends on complex organic substances for nutrition
oewn-00006150-n	n	dul:Organism	phase1_propagated	parent	synset-parent-noun-2	an organism (plant or animal) from which younger ones are obtained
oewn-00006269-n	n	dul:PhysicalAgent	phase1_propagated	life	synset-life-noun-10	living things collectively
oewn-00006400-n	n	dul:PhysicalAgent	phase1_propagated	biont	synset-biont-noun-1	a discrete unit of living matter
oewn-00006484-n	n	dul:BiologicalObject	phase1_topmapping	cell	synset-cell-noun-2	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals
oewn-00007347-n	n	owl:Thing	phase1_topmapping	causal agent	synset-causal_agent-noun-1	any entity that produces an effect or is responsible for events or results
oewn-00007846-n	n	dul:Person	phase1_topmapping	person	synset-person-noun-1	a human being; person, singular, assertive existential pronoun; pronoun, person, singular; quantifier: assertive existential
oewn-00015568-n	n	dul:Organism	phase1_propagated	animal	synset-animal-noun-1	a living organism characterized by voluntary movement
