oewn_id	pos	primary_lemma	gloss	assigned_class	method	manual_agreement
oewn-00002573-v	v	respire	breathe easily again, as after exertion or anxiety	dul:State	phase3_propagated_from_hypernym	
oewn-00016685-s	s	verdant	characterized by abundance of verdure	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00021214-r	r	never	not at all; certainly not; not in any circumstances; not ever; at no time in the past or future	dul:TimeInterval	phase4_R2_adv_temporal	
oewn-00034695-r	r	shortly	at a short distance	dul:Region	phase4_R7_adv_default	
oewn-00064168-r	r	altogether	with everything included or counted	dul:Region	phase4_R7_adv_default	
oewn-00071399-v	v	martyr	torture and torment like a martyr	dul:Action	phase3_propagated_from_hypernym	
oewn-00114348-r	r	inorganically	not involving carbon compounds	dul:Region	phase4_R7_adv_default	
oewn-00120124-v	v	make	give certain properties to something	dul:Action	phase3_propagated_from_hypernym	
oewn-00130906-r	r	racially	with respect to race	dul:Region	phase4_R7_adv_default	
oewn-00142257-s	s	columnar	characterized by columns	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00144182-r	r	institutionally	by an institution	dul:Region	phase4_R7_adv_default	
oewn-00145844-n	n	tag	(sports) the act of touching a player in a game (which changes their status in the game)	dul:Action	phase1_propagated	
oewn-00147263-a	a	unarmed	(used of plants or animals) lacking barbs or stings or thorns	dul:Quality	phase4_A5_adj_head_default	
oewn-00157652-v	v	enlarge	become larger or bigger	dul:Action	phase3_propagated_from_hypernym	
oewn-00177724-v	v	clean	remove unwanted substances from, such as feathers or pits	dul:Action	phase3_propagated_from_hypernym	
oewn-00180819-r	r	in other words	otherwise stated	dul:Region	phase4_R7_adv_default	
oewn-00211212-a	a	grassy	abounding in grass	dul:Quality	phase4_A5_adj_head_default	
oewn-00219120-r	r	inauspiciously	in an inauspicious manner	dul:Region	phase4_R1_adv_manner	
oewn-00219659-r	r	head-on	with the front foremost	dul:Region	phase4_R7_adv_default	
oewn-00225174-s	s	beltlike	resembling a belt around something	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00234918-v	v	tie	limit or restrict to	dul:Action	phase3_propagated_from_hypernym	
oewn-00239791-r	r	scienter	(law) deliberately or knowingly	dul:Region	phase4_R7_adv_default	
oewn-00244343-s	s	Caucasian	of or relating to Caucasian people	dul:PhysicalAttribute	phase4_A1_satellite_inherits_head	
oewn-00264860-s	s	game	willing to face danger	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00268567-r	r	avidly	in an avid manner	dul:Region	phase4_R1_adv_manner	
oewn-00281861-v	v	discolor	change color, often in an undesired manner	dul:Action	phase3_tier1_derivation	
oewn-00282667-r	r	cagily	in a cagey manner	dul:Region	phase4_R1_adv_manner	
oewn-00285302-r	r	chastely	in a chaste and virtuous manner	dul:Region	phase4_R7_adv_default	
oewn-00287002-r	r	clearly	in an easily perceptible manner	dul:Region	phase4_R1_adv_manner	
oewn-00311025-r	r	detestably	in an offensive and hateful manner	dul:Region	phase4_R7_adv_default	
oewn-00318955-r	r	disparagingly	in a disparaging manner	dul:Region	phase4_R1_adv_manner	
oewn-00330464-v	v	twig	branch out in a twiglike manner	dul:Action	phase3_propagated_from_hypernym	
oewn-00331928-n	n	transplant	the act of removing something from one location and introducing it in another location	dul:Situation	phase1_propagated	
oewn-00337732-v	v	fissure	break into fissures or fine cracks	dul:Action	phase3_propagated_from_hypernym	
oewn-00342537-r	r	flabbily	in a flabby manner	dul:Region	phase4_R1_adv_manner	
oewn-00387364-s	s	yellow-tinged	of a color tinged with yellow	dul:PhysicalAttribute	phase4_A1_satellite_inherits_head	
oewn-00398893-v	v	digest	soften or disintegrate, as by undergoing exposure to heat or moisture	dul:Action	phase3_propagated_from_hypernym	
oewn-00406926-r	r	murderously	as if bent on murder	dul:Region	phase4_R7_adv_default	
oewn-00414088-r	r	subjectively	in a subjective way	dul:Region	phase4_R1_adv_manner	
oewn-00415612-n	n	hijab	the custom in some Islamic societies of women dressing modestly outside the home	dul:Method	phase1_propagated	
oewn-00415748-v	v	dislocate	put out of its usual place, position, or relationship	dul:Action	phase3_tier1_derivation	
oewn-00418463-r	r	painstakingly	in a fastidious and painstaking manner	dul:Region	phase4_R7_adv_default	
oewn-00420328-v	v	loosen	make loose or looser	dul:Action	phase3_tier1_derivation	
oewn-00437981-r	r	purposefully	in a purposeful manner	dul:Region	phase4_R1_adv_manner	
oewn-00442738-r	r	remotely	in a remote manner	dul:Region	phase4_R1_adv_manner	
oewn-00450958-s	s	close-set	set close together	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00452640-a	a	distant	far apart in relevance or relationship or kinship	dul:Quality	phase4_A5_adj_head_default	
oewn-00476618-r	r	tauntingly	in a playfully teasing manner	dul:Region	phase4_R1_adv_manner	
oewn-00478809-a	a	comfortable	providing or experiencing physical well-being or relief (‘comfy’ is informal)	dul:Quality	phase4_A5_adj_head_default	
oewn-00494248-r	r	validly	with validity; in a valid manner	dul:Region	phase4_R7_adv_default	
oewn-00495346-r	r	vilely	in a vile manner	dul:Region	phase4_R1_adv_manner	
